,ID,task,block,trial,fiksacja3,fiksacja3_dur,fiksacja,fiksacja_dur,stimulus_type,stimulus,duration_type,duration,maska,maska_dur,fiksacja2,fiksacja2_dur,beh_response,response_dur,button,accuracy,accuracy_RT,pas_response,pas_response_dur,PAS,PAS_RT
0,dc1_01,low,1,2,12.0558,3.0095,15.0653,1.7399,sn3,16.8052,dur2,0.047,16.8522,0.2469,17.0991,2.0102,19.1211,1.5165,54.0,0.0,262.4,20.6494,1.4459,4.0,499.2
1,dc1_01,low,1,4,31.1591,2.0103,33.1694,1.7399,mn7,34.9093,dur1,0.0117,34.921,0.2469,35.1679,2.0103,37.1899,1.5165,54.0,0.0,510.0,38.7182,1.4812,4.0,397.6
2,dc1_01,low,1,5,40.2112,2.0102,42.2214,1.7399,sc1,43.9613,dur2,0.047,44.0083,0.2469,44.2552,2.0103,46.2772,1.5165,44.0,1.0,457.1,47.8055,1.446,4.0,479.4
3,dc1_01,low,1,6,49.2632,1.011,50.2742,1.7399,mn7,52.0141,dur2,0.047,52.0611,0.2469,52.308,6.0073,58.327,1.5165,54.0,0.0,1453.6,59.8553,1.446,4.0,1358.9
4,dc1_01,low,1,7,61.313,1.011,62.324,1.7399,mc1,64.0639,dur3,0.0823,64.1462,0.2469,64.3931,2.0102,66.4151,1.5165,54.0,1.0,1153.3,67.9433,1.4108,4.0,195.3
5,dc1_01,low,1,8,69.3658,2.0103,71.3761,1.7399,sc9,73.116,dur1,0.0117,73.1277,0.2469,73.3746,4.0087,77.3951,1.5165,44.0,1.0,279.4,78.9234,1.4812,1.0,255.6
6,dc1_01,low,1,9,80.4164,3.0095,83.4259,1.7399,sc1,85.1658,dur1,0.0117,85.1775,0.2469,85.4244,2.0102,87.4464,1.5165,44.0,1.0,285.1,88.9747,1.4812,1.0,192.0
7,dc1_01,low,1,11,99.5197,3.0095,102.5292,1.7399,sc7,104.2691,dur1,0.0117,104.2808,0.2469,104.5277,2.0103,106.5497,1.5165,51.0,0.0,297.2,108.078,1.4812,3.0,252.1
8,dc1_01,low,1,12,109.571,1.011,110.582,1.7399,sc3,112.3219,dur2,0.047,112.3689,0.2469,112.6158,6.0072,118.6348,1.5165,44.0,1.0,362.3,120.1631,1.4459,2.0,259.5
9,dc1_01,low,1,13,121.6208,1.011,122.6318,1.7399,sn3,124.3717,dur1,0.0117,124.3834,0.2469,124.6303,2.0103,126.6523,1.5165,41.0,1.0,450.6,128.1806,1.4812,1.0,231.7
