L.p.;Plec;Pochodzenie;Wzrost
1;MÇùczyzna;Hollywood;174
2;MÇùczyzna;Hollywood;170
3;MÇùczyzna;Hollywood;177
4;MÇùczyzna;Hollywood;177
5;MÇùczyzna;Hollywood;178
6;MÇùczyzna;Hollywood;189
7;MÇùczyzna;Hollywood;183
8;MÇùczyzna;Hollywood;183
9;MÇùczyzna;Hollywood;193
10;MÇùczyzna;Hollywood;182
11;MÇùczyzna;Hollywood;185
12;MÇùczyzna;Hollywood;175
13;MÇùczyzna;Hollywood;183
14;MÇùczyzna;Hollywood;178
15;MÇùczyzna;Hollywood;185
16;MÇùczyzna;Hollywood;184
17;MÇùczyzna;Hollywood;179
18;MÇùczyzna;Hollywood;178
19;MÇùczyzna;Hollywood;183
20;MÇùczyzna;Hollywood;187
21;MÇùczyzna;Hollywood;183
22;MÇùczyzna;Hollywood;180
23;MÇùczyzna;Hollywood;189
24;MÇùczyzna;Hollywood;185
25;MÇùczyzna;Hollywood;189
26;MÇùczyzna;Hollywood;193
27;MÇùczyzna;Hollywood;178
28;MÇùczyzna;Hollywood;184
29;MÇùczyzna;Hollywood;170
30;MÇùczyzna;Hollywood;189
31;Kobieta;Hollywood;168
32;Kobieta;Hollywood;157
33;Kobieta;Hollywood;160
34;Kobieta;Hollywood;177
35;Kobieta;Hollywood;169
36;Kobieta;Hollywood;174
37;Kobieta;Hollywood;175
38;Kobieta;Hollywood;168
39;Kobieta;Hollywood;169
40;Kobieta;Hollywood;171
41;Kobieta;Hollywood;165
42;Kobieta;Hollywood;173
43;Kobieta;Hollywood;168
44;Kobieta;Hollywood;168
45;Kobieta;Hollywood;170
46;Kobieta;Hollywood;161
47;Kobieta;Hollywood;163
48;Kobieta;Hollywood;170
49;Kobieta;Hollywood;170
50;Kobieta;Hollywood;165
51;Kobieta;Hollywood;171
52;Kobieta;Hollywood;163
53;Kobieta;Hollywood;169
54;Kobieta;Hollywood;161
55;Kobieta;Hollywood;180
56;Kobieta;Hollywood;175
57;Kobieta;Hollywood;180
58;Kobieta;Hollywood;160
59;Kobieta;Hollywood;164
60;Kobieta;Hollywood;178
61;MÇùczyzna;Polska;177
62;MÇùczyzna;Polska;188
63;MÇùczyzna;Polska;177
64;MÇùczyzna;Polska;164
65;MÇùczyzna;Polska;172
66;MÇùczyzna;Polska;177
67;MÇùczyzna;Polska;185
68;MÇùczyzna;Polska;169
69;MÇùczyzna;Polska;185
70;MÇùczyzna;Polska;188
71;MÇùczyzna;Polska;159
72;MÇùczyzna;Polska;166
73;MÇùczyzna;Polska;174
74;MÇùczyzna;Polska;171
75;MÇùczyzna;Polska;180
76;MÇùczyzna;Polska;178
77;MÇùczyzna;Polska;188
78;MÇùczyzna;Polska;190
79;MÇùczyzna;Polska;177
80;MÇùczyzna;Polska;167
81;MÇùczyzna;Polska;167
82;MÇùczyzna;Polska;181
83;MÇùczyzna;Polska;177
84;MÇùczyzna;Polska;176
85;MÇùczyzna;Polska;170
86;MÇùczyzna;Polska;192
87;MÇùczyzna;Polska;171
88;MÇùczyzna;Polska;206
89;MÇùczyzna;Polska;191
90;MÇùczyzna;Polska;181
91;Kobieta;Polska;162
92;Kobieta;Polska;178
93;Kobieta;Polska;171
94;Kobieta;Polska;179
95;Kobieta;Polska;174
96;Kobieta;Polska;175
97;Kobieta;Polska;173
98;Kobieta;Polska;165
99;Kobieta;Polska;153
100;Kobieta;Polska;160
101;Kobieta;Polska;158
102;Kobieta;Polska;165
103;Kobieta;Polska;158
104;Kobieta;Polska;177
105;Kobieta;Polska;175
106;Kobieta;Polska;168
107;Kobieta;Polska;167
108;Kobieta;Polska;148
109;Kobieta;Polska;160
110;Kobieta;Polska;169
111;Kobieta;Polska;163
112;Kobieta;Polska;176
113;Kobieta;Polska;161
114;Kobieta;Polska;157
115;Kobieta;Polska;165
116;Kobieta;Polska;170
117;Kobieta;Polska;174
118;Kobieta;Polska;164
119;Kobieta;Polska;158
120;Kobieta;Polska;151
